Manufacturer,Webbing,Material,MBS,Weight,Stretch,Stretch,Width,Cost,Link
n/a,n/a,n/a,kN,g/m,pct_at_6kN,pct_at_10kN,mm,usd/m,n/a
Aki,Anima,Hybrid,30,37.5,1,2,20,3.77,https://aki-slacklines.de/en/webbing/hppe/194/aki-anima-webbing?c=6
Aki,Wave Tube 25,Nylon,21,42,12,17,25.4,2,https://aki-slacklines.de/en/webbing/polyamide/138/aki-wave-tube-25-webbing?c=6
Aki,Wizard,Polyester,34,55,2,4.2,25.4,2.35,https://aki-slacklines.de/en/webbing/polyester/189/aki-wizard-webbing?c=6
Aki,Nomad,Polyester,23.5,38,2,4,25.4,1.18,https://aki-slacklines.de/en/webbing/polyester/187/aki-nomad-webbing?c=6
Aki,Soma,Polyester,32.5,62,6,8.7,25.4,1.65,https://aki-slacklines.de/en/webbing/polyester/186/aki-soma-webbing?c=6
Aki,Sonic Light,Nylon,27,53,8,13,25.4,2.71,https://aki-slacklines.de/en/webbing/polyamide/176/aki-sonic-light-webbing?c=6
Aki,Purple Gold,Nylon,30.5,65.5,12,17,25.4,2.71,https://aki-slacklines.de/en/webbing/polyamide/169/aki-purple-gold-webbing?c=6
Aki,Wave Tube 19,Nylon,16,36,12,18,19,1.65,https://aki-slacklines.de/en/webbing/polyamide/15/aki-wave-tube-19-webbing?c=6
Aki,Polar,Polyester,27,55,5,8,25.4,2.35,https://aki-slacklines.de/en/webbing/polyester/162/aki-polar-webbing?c=6
Aki,Sonic 2,Nylon,35,69,10,15,25.4,1.88,https://aki-slacklines.de/en/webbing/polyamide/137/aki-sonic-2-slackline-webbing?c=6
Aki,White Magic,Polyester,34,61,3,5,25.4,1.59,https://aki-slacklines.de/en/webbing/polyester/4/aki-white-magic-webbing?c=6
Aki,Wave Tube 32,Nylon,27,55,11,16,32,2.3,https://aki-slacklines.de/en/webbing/polyamide/14/aki-wave-tube-32-webbing?c=6
